,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
501,"Kingmaker, Kingbreaker",Karen Miller,http://ecx.images-amazon.com/images/I/51DCcSaVvIL.jpg,Orbit (US),$15.99,875,OMNIBUS,tp,2012-08-14
502,The Traitor Queen,Trudi Canavan,http://ecx.images-amazon.com/images/I/51lCcDmEwLL.jpg,Orbit (US),$25.99,516,NOVEL,hc,2012-08-14
503,"Kingmaker, Kingbreaker",Karen Miller,http://ecx.images-amazon.com/images/I/51SEjjvNwjL.jpg,Orbit (US),$15.99,,OMNIBUS,ebook,2012-08-14
504,The Traitor Queen,Trudi Canavan,http://ecx.images-amazon.com/images/I/51Kpo3LwoWL.jpg,Orbit (US),$7.99,,NOVEL,ebook,2012-08-14
505,Cold Fire,Kate Elliott,http://ecx.images-amazon.com/images/I/51HQ4kd7HCL.jpg,Orbit (US),$7.99,633,NOVEL,pb,2012-08-28
506,Seeds of Earth,Michael Cobley,http://www.isfdb.org/wiki/images/a/a4/SDSFRTHQBN2012.jpg,Orbit (US),$7.99,620,NOVEL,pb,2012-09-00
507,Seeds of Earth,Michael Cobley,http://ecx.images-amazon.com/images/I/51Uf19JK%2B1L.jpg,Orbit (US),$6.99,,NOVEL,ebook,2012-09-00
508,"You Don't Have to Be Evil to Work Here, But it Helps",Tom Holt,http://ecx.images-amazon.com/images/I/51vA5sPHAJL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
509,The Better Mousetrap,Tom Holt,http://ecx.images-amazon.com/images/I/51aCl5KXDrL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
510,Djinn Rummy,Tom Holt,http://ecx.images-amazon.com/images/I/51dq0Vsv6eL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
511,Flying Dutch,Tom Holt,http://ecx.images-amazon.com/images/I/51o6kqy0tRL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
512,Grailblazers,Tom Holt,http://ecx.images-amazon.com/images/I/516zjLVOAuL.jpg,Orbit (US),$4.99,,NOVEL,ebook,2012-09-04
513,Here Comes the Sun,Tom Holt,http://ecx.images-amazon.com/images/I/51HK1xpi7YL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
514,My Hero,Tom Holt,http://ecx.images-amazon.com/images/I/51sReZieh9L.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
515,Overtime,Tom Holt,http://ecx.images-amazon.com/images/I/513rPXSoyML.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
516,Barking,Tom Holt,http://ecx.images-amazon.com/images/I/51MOkV9as4L.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
517,"Earth, Air, Fire and Custard",Tom Holt,http://ecx.images-amazon.com/images/I/51-Gxm6bDpL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
518,In Your Dreams,Tom Holt,http://ecx.images-amazon.com/images/I/51qlF0ilEBL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
519,Little People,Tom Holt,http://ecx.images-amazon.com/images/I/51CYtlfqoGL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
520,Odds and Gods,Tom Holt,http://ecx.images-amazon.com/images/I/51RHoLvIneL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
521,Only Human,Tom Holt,http://ecx.images-amazon.com/images/I/51merI7Gj2L.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
522,Open Sesame,Tom Holt,http://ecx.images-amazon.com/images/I/5110tProJhL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
523,Paint Your Dragon,Tom Holt,http://ecx.images-amazon.com/images/I/51EVywDVqXL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
524,Ye Gods!,Tom Holt,http://ecx.images-amazon.com/images/I/51f0DV8eB7L.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
525,The Portable Door,Tom Holt,http://ecx.images-amazon.com/images/I/51c5PPj6qiL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
526,Snow White and the Seven Samurai,Tom Holt,http://ecx.images-amazon.com/images/I/51sBv2m3TLL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
527,Expecting Someone Taller,Tom Holt,http://ecx.images-amazon.com/images/I/511OZpCaa0L.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
528,Falling Sideways,Tom Holt,http://ecx.images-amazon.com/images/I/51-ysHgNzOL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
529,Faust Among Equals,Tom Holt,http://ecx.images-amazon.com/images/I/512T3Clf43L.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
