,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image
843,Shades in Shadow: An Inheritance Triptych,N. K. Jemisin,9780316388597,$2.99,,COLLECTION,ebook,2015-07-28,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51W4e9uNeCL.jpg
844,The Remaining: Extinction,D. J. Molles,9780316261661,$8.99,,NOVEL,ebook,2015-07-28,Orbit (US),http://ecx.images-amazon.com/images/I/51iLK29MT0L.jpg
845,The Fifth Season,N. K. Jemisin,9780316229296,$15.99,465,NOVEL,tp,2015-08-04,Orbit (US),http://ecx.images-amazon.com/images/I/61rH8sThrbL.jpg
846,The Fifth Season,N. K. Jemisin,9780316229302,$9.99,,NOVEL,ebook,2015-08-04,Orbit (US),http://ecx.images-amazon.com/images/I/612FnTYaDAL.jpg
847,Blood Call,Lilith Saintcrow,9780316343602,$21.99,336,NOVEL,tp,2015-08-04,Orbit (US),http://ecx.images-amazon.com/images/I/51AgV-KtEvL.jpg
848,Blood Call,Lilith Saintcrow,9780316343640,$2.99,,NOVEL,ebook,2015-08-04,Orbit (US),http://ecx.images-amazon.com/images/I/51AgV-KtEvL.jpg
849,Fearless,Elliott James,9780316253444,$15.99,416,NOVEL,tp,2015-08-11,Orbit (US),http://ecx.images-amazon.com/images/I/51T6D872yrL.jpg
850,Fearless,Elliott James,9780316253437,$9.99,,NOVEL,ebook,2015-08-11,Orbit (US),http://ecx.images-amazon.com/images/I/51%2BL-YztaWL.jpg
851,The Broken Eye,Brent Weeks,9780316058964,$16.99,813,NOVEL,tp,2015-08-18,Orbit (US),http://ecx.images-amazon.com/images/I/51G0U1XGKbL.jpg
852,The Paradox,Charlie Fletcher,9780316279543,$15.99,386,NOVEL,tp,2015-08-18,Orbit (US),http://ecx.images-amazon.com/images/I/5112EzuUd5L.jpg
853,The Paradox,Charlie Fletcher,9780316279529,$9.99,,NOVEL,ebook,2015-08-18,Orbit (US),http://ecx.images-amazon.com/images/I/51HEIKIsWjL.jpg
854,The Two of Swords: Part Seven,K. J. Parker,9780316265720,$0.99,,CHAPBOOK,ebook,2015-08-18,Orbit (US),http://ecx.images-amazon.com/images/I/51zmYIO8LfL.jpg
855,Legion,Jamie Sawyer,9780316386449,$3.99,,NOVEL,ebook,2015-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51BGVZ5WXEL.jpg
856,Before They Are Hanged,Joe Abercrombie,9780316387354,$16.99,514,NOVEL,tp,2015-09-08,Orbit (US),http://ecx.images-amazon.com/images/I/615XgHwlMtL.jpg
857,Last Argument of Kings,Joe Abercrombie,9780316387408,$16.99,603,NOVEL,tp,2015-09-08,Orbit (US),http://ecx.images-amazon.com/images/I/61MkiXXLS7L.jpg
858,Before They Are Hanged,Joe Abercrombie,9780316387347,$9.99,,NOVEL,ebook,2015-09-08,Orbit (US),http://ecx.images-amazon.com/images/I/51ZHVdFmerL.jpg
859,The Blade Itself,Joe Abercrombie,9780316387330,$6.99,,NOVEL,ebook,2015-09-08,Orbit (US),http://ecx.images-amazon.com/images/I/51eV%2BL3b5tL.jpg
860,Last Argument of Kings,Joe Abercrombie,9780316387385,$9.99,,NOVEL,ebook,2015-09-08,Orbit (US),http://ecx.images-amazon.com/images/I/61fZ2jSwGUL.jpg
861,A Crown for Cold Silver,Alex Marshall,9780316379410,$15.99,646,NOVEL,tp,2015-09-15,Orbit (US),http://ecx.images-amazon.com/images/I/61VtnYmU5JL.jpg
862,The Two of Swords: Part Eight,K. J. Parker,9780316265621,$0.99,,CHAPBOOK,ebook,2015-09-15,Orbit (US),http://ecx.images-amazon.com/images/I/51KMuv1L77L.jpg
863,Battlemage,Stephen Aryan,9780316298278,$15.99,469,NOVEL,tp,2015-09-22,Orbit (US),http://ecx.images-amazon.com/images/I/511%2Bd0k-G0L.jpg
864,Battlemage,Stephen Aryan,9780316298285,$9.99,,NOVEL,ebook,2015-09-22,Orbit (US),http://ecx.images-amazon.com/images/I/51URWquRwwL.jpg
