,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
1207,King of Assassins,R. J. Barker,9780316466585,15.99,504,NOVEL,tp,2018-08-07,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/511blE70I0L.jpg,176400.0,2018
1208,King of Assassins,R. J. Barker,9780316466592,9.99,,NOVEL,ebook,2018-08-07,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51rawrV-RnL.jpg,176400.0,2018
1209,Friendly Fire,Dale Lucas,9780316469104,15.99,434,NOVEL,tp,2018-08-07,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61Pre%2BjVDwL.jpg,151900.0,2018
1210,The Tower of Living and Dying,Anna Smith Spark,9780316511469,15.99,511,NOVEL,tp,2018-08-07,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51vJL0U2v%2BL.jpg,178850.0,2018
1211,The Tower of Living and Dying,Anna Smith Spark,9780316511452,9.99,,NOVEL,ebook,2018-08-07,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51mLMFDyznL.jpg,178850.0,2018
1212,Bad Faith,Jon Hollins,9780316308311,15.99,507,NOVEL,tp,2018-08-14,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51Ylnen1J6L.jpg,177450.0,2018
1213,Blood of the Gods,David Mealing,9780316552349,16.99,688,NOVEL,tp,2018-08-21,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51DQko6KX-L.jpg,240800.0,2018
1214,Blood of the Gods,David Mealing,9780316552356,11.99,,NOVEL,ebook,2018-08-21,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51x9lYkmXZL.jpg,240800.0,2018
1215,Shadowblack,Sebastien de Castell,9780316525817,15.99,315,NOVEL,tp,2018-08-21,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61-G833VPYL.jpg,110250.0,2018
1216,Shadowblack,Sebastien de Castell,9780316525794,9.99,,NOVEL,ebook,2018-08-21,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61isf2rVylL.jpg,110250.0,2018
1217,The Collected Adventures of Bannon & Clare,Lilith Saintcrow,9780316419451,19.99,1242,OMNIBUS,tp,2018-08-21,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51uJgxDa3hL.jpg,434700.0,2018
1218,Bloody Rose,Nicholas Eames,9780316362535,15.99,510,NOVEL,tp,2018-08-28,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/515fFxdab0L.jpg,178500.0,2018
1219,Bloody Rose,Nicholas Eames,9780316362528,9.99,,NOVEL,ebook,2018-08-28,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51OvEMZCpFL.jpg,178500.0,2018
